game,axis,parameter,beta,rho,h,epsilon,start_id,x0,y0,horizon,cumulative_avg_gradient_l1,instantaneous_gradient_l1,interaction_ratio
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,2,0.5,-0.5,1000,2.5202961858005217,2.1527040316316053,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,2,0.5,-0.5,3000,1.6739507497218125,0.4675886673828137,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,2,0.5,-0.5,10000,0.5284840957323308,1.1944000991276746e-07,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,3,-0.5,-0.5,1000,2.5202961858005217,2.1527040316316053,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,3,-0.5,-0.5,3000,1.6739507497218125,0.4675886673828137,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,3,-0.5,-0.5,10000,0.5284840957323308,1.1944000991276746e-07,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,4,0.8,0.2,1000,3.0896606868893106,2.5508718031799296,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,4,0.8,0.2,3000,2.191355295130825,0.9160682964730708,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,4,0.8,0.2,10000,0.72334323366277,5.753320017918263e-07,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,5,-0.8,0.2,1000,2.391336904059715,1.90810697886808,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,5,-0.8,0.2,3000,1.506258236903277,0.36591100959984096,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,5,-0.8,0.2,10000,0.46950625102088145,8.270354929647183e-08,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,6,0.2,-0.8,1000,3.0896606868893106,2.5508718031799296,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,6,0.2,-0.8,3000,2.191355295130825,0.9160682964730708,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,6,0.2,-0.8,10000,0.72334323366277,5.753320017918263e-07,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,7,-0.2,-0.8,1000,2.391336904059715,1.90810697886808,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,7,-0.2,-0.8,3000,1.506258236903277,0.36591100959984096,3.0
interaction_dominated,beta,0.3,0.3,0.9,0.0005,0.05,7,-0.2,-0.8,10000,0.46950625102088145,8.270354929647183e-08,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,0,0.5,0.5,1000,2.5232260478747723,2.1588366892433006,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,0,0.5,0.5,3000,1.682502100593876,0.48934998238721644,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,0,0.5,0.5,10000,0.5327446583489597,1.6144151041936034e-07,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,1,-0.5,0.5,1000,2.5232260478747723,2.1588366892433006,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,1,-0.5,0.5,3000,1.682502100593876,0.48934998238721644,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,1,-0.5,0.5,10000,0.5327446583489597,1.6144151041936034e-07,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,2,0.5,-0.5,1000,2.5232260478747723,2.1588366892433006,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,2,0.5,-0.5,3000,1.682502100593876,0.48934998238721644,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,2,0.5,-0.5,10000,0.5327446583489597,1.6144151041936034e-07,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,3,-0.5,-0.5,1000,2.5232260478747723,2.1588366892433006,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,3,-0.5,-0.5,3000,1.682502100593876,0.48934998238721644,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,3,-0.5,-0.5,10000,0.5327446583489597,1.6144151041936034e-07,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,4,0.8,0.2,1000,3.0910063628422426,2.5540525403888608,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,4,0.8,0.2,3000,2.1981578529247674,0.9326897293265425,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,4,0.8,0.2,10000,0.7281410707671098,8.117243804992319e-07,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,5,-0.8,0.2,1000,2.393810070513478,1.9125668682332566,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,5,-0.8,0.2,3000,1.5140932122565565,0.38355416940567144,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,5,-0.8,0.2,10000,0.4731539111505859,1.2572956920254678e-07,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,6,0.2,-0.8,1000,3.0910063628422426,2.5540525403888608,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,6,0.2,-0.8,3000,2.1981578529247674,0.9326897293265425,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,6,0.2,-0.8,10000,0.7281410707671098,8.117243804992319e-07,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,7,-0.2,-0.8,1000,2.393810070513478,1.9125668682332566,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,7,-0.2,-0.8,3000,1.5140932122565565,0.38355416940567144,3.0
interaction_dominated,beta,0.6,0.6,0.9,0.0005,0.05,7,-0.2,-0.8,10000,0.4731539111505859,1.2572956920254678e-07,3.0
interaction_dominated,beta,0.9,0.9,0.9,0.0005,0.05,0,0.5,0.5,1000,2.5438898292801744,2.20232627020688,3.0
interaction_dominated,beta,0.9,0.9,0.9,0.0005,0.05,0,0.5,0.5,3000,1.7426812743305857,0.6344896489076695,3.0
interaction_dominated,beta,0.9,0.9,0.9,0.0005,0.05,0,0.5,0.5,10000,0.5660438931838467,2.621991872345895e-06,3.0
interaction_dominated,beta,0.9,0.9,0.9,0.0005,0.05,1,-0.5,0.5,1000,2.5438898292801744,2.20232627020688,3.0
